tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
cyclonedx-python-lib,https://github.com/pfsense/FreeBSD-ports,https://github.com/pfsense/FreeBSD-ports,2015-08-20T20:02:11Z,4,1,12,,0,5,0,0,2,4,88,SPDX
spdx-maven-plugin,https://github.com/pezra/pretty-printer,https://github.com/pezra/pretty-printer,2011-03-30T15:21:38Z,79,18,25,6,0,16,15,28,1,109,206,SPDX
cyclonedx-python-lib,https://github.com/pentagridsec/smsgate,https://github.com/pentagridsec/smsgate,2022-11-16T11:16:45Z,52,14,59,4,0,29,43,186,14,251,"1,170",SPDX
gh-dotnet-generate-sbom,https://github.com/paralax/ObsidianSailboat,https://github.com/paralax/ObsidianSailboat,2019-02-27T01:34:33Z,1,11,1,,0,2,0,0,0,0,44,SPDX
cyclonedx-go,https://github.com/paketo-buildpacks/packit,https://github.com/paketo-buildpacks/packit,2019-10-10T19:20:22Z,0,2,0,,0,,0,0,0,0,132,SPDX
sbom-cli,https://github.com/oxsecurity/megalinter,https://github.com/oxsecurity/megalinter,2020-10-17T08:16:25Z,17,7,5,1396,11,14,27,39,22,1317,"1,271",SPDX
bom,https://github.com/owasp-dep-scan/dep-scan,https://github.com/owasp-dep-scan/dep-scan,2020-01-28T20:41:58Z,22000,35,684,61,2,218,272,752,45,1741,"1,447",SPDX
cyclonedx-gomod,https://github.com/owasp-amass/amass,https://github.com/owasp-amass/amass,2018-07-10T16:05:08Z,3,1,0,,,,0,1,0,0,6,SPDX
build-info-go,https://github.com/ovh/cds,https://github.com/ovh/cds,2016-10-11T08:28:23Z,1,1,0,,0,817,0,0,0,0,"32,994",SPDX
dtrack-audit,https://github.com/oss-compass/compass-web,https://github.com/oss-compass/compass-web,2022-09-29T09:44:01Z,0,2,1,,0,2,0,0,17,140,61,SPDX
cyclonedx-maven-plugin,https://github.com/oracle/tribuo,https://github.com/oracle/tribuo,2020-06-16T09:59:48Z,7,4,1,10,1,3,7,13,0,13,73,SPDX
cyclonedx-gradle-plugin,https://github.com/oracle/okafka,https://github.com/oracle/okafka,2020-04-24T21:12:09Z,0,1,5,427,0,3,33,10,59,131,922,SPDX
cyclonedx-python,https://github.com/oracle/oci-python-sdk,https://github.com/oracle/oci-python-sdk,2016-11-04T04:50:20Z,34000,87,430,11,0,95,2,230,0,186,844,SPDX
