link,type,tool_used,creation_date,language,contributors,openIssues,closedIssues,commits,openPRs,closedPRs,releases,forks,stars,watchers,LOC,size,PL_category,PL_typting
https://github.com/volution/kawipiko,CycloneDX,cyclonedx-gomod,2018-11-09T16:05:54Z,Go,2,3,5,396,0,3,1,10,400,10,"{""Go"": 211898, ""HTML"": 24186}",1064.0,GPL,static
https://github.com/cedricbonhomme/newspipe,CycloneDX,cyclonedx-python,2013-12-02T20:24:52Z,Python,7,4,43,3337,0,6,20,41,462,16,"{""Shell"": 175, ""Python"": 220008, ""Mako"": 494, ""JavaScript"": 16343, ""HTML"": 101673, ""CSS"": 1916}",11466.0,GPL,dynamic
https://github.com/devops-kung-fu/bomber,CycloneDX,cyclonedx-go,2022-07-08T15:05:44Z,Go,16,17,87,91,8,97,21,47,566,9,"{""Makefile"": 754, ""Go"": 212589}",4527.0,GPL,static
https://github.com/oracle/oci-python-sdk,CycloneDX,cyclonedx-python,2016-11-04T04:50:20Z,Python,35,63,271,753,10,41,337,291,420,35,"{""Python"": 171819041}",106477.0,GPL,dynamic
https://github.com/CycloneDX/cdxgen,CycloneDX,cyclonedx-maven-plugin,2019-12-30T13:55:18Z,JavaScript,103,371,459,1787,11,68,363,183,694,15,"{""JavaScript"": 1357114, ""Shell"": 13001, ""Ruby"": 15245, ""Starlark"": 691, ""Elixir"": 4638, ""Roff"": 17330, ""Clojure"": 2686, ""Dockerfile"": 8893, ""Python"": 26957, ""TypeScript"": 491}",27052.0,GPL,dynamic
https://github.com/yaklang/yaklang,CycloneDX,cyclonedx-go,2023-04-29T05:21:07Z,Go,26,6,45,8818,18,173,162,55,456,8,"{""Go"": 27745556, ""JavaScript"": 543407, ""Makefile"": 572, ""ANTLR"": 182646, ""Shell"": 16048, ""CSS"": 30612, ""HTML"": 624262, ""Dockerfile"": 770, ""PowerShell"": 80, ""NASL"": 2179768}",194371.0,GPL,static
https://github.com/NetBSD/pkgsrc,CycloneDX,cyclonedx-python-lib,2017-04-16T20:04:15Z,Makefile,53,14,49,425976,4,96,0,167,326,29,"{""Makefile"": 34832996, ""Python"": 892420, ""C"": 24439240, ""C++"": 5612122, ""M4"": 301813, ""Shell"": 2948088, ""PHP"": 133161, ""Roff"": 2412428, ""CMake"": 369364, ""Awk"": 323619}",1303879.0,DSL,
https://github.com/CycloneDX/specification,CycloneDX,cyclonedx-node-module,2017-05-29T02:22:06Z,XSLT,22,134,194,1088,20,40,8,67,397,26,"{""Java"": 28958, ""XSLT"": 370762, ""Shell"": 11512, ""HTML"": 23958, ""CSS"": 8603, ""JavaScript"": 9943, ""PHP"": 7897}",3094.0,DSL,
https://github.com/samrocketman/jervis,CycloneDX,cyclonedx-gradle-plugin,2014-11-22T04:58:13Z,Groovy,1,25,130,1803,0,7,12,45,269,21,"{""Shell"": 10060, ""CSS"": 49068, ""Groovy"": 1037041, ""Java"": 51041, ""Dockerfile"": 1118}",2727.0,GPL,dynamic
https://github.com/AgoraIO/API-Examples,CycloneDX,cyclonedx-editor-validator,2020-04-21T07:46:07Z,C++,23,21,103,1558,0,66,35,223,325,46,"{""Swift"": 2508810, ""Ruby"": 10890, ""Java"": 2264719, ""Shell"": 50248, ""Python"": 2972, ""CMake"": 5851, ""C++"": 9149403, ""C"": 601219, ""Objective-C"": 1158010, ""PowerShell"": 2300}",121627.0,GPL,static
