tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
ko-build/ko,https://github.com/cncf/velocity,2017-04-26T14:07:13Z,,148,27,50,,0,7,2,13,0,14,"1,023",CycloneDX
ko-build/ko,https://github.com/codepraxis-io/docker-deep-dive,2022-08-25T21:05:50Z,,26,3,16,,0,,0,0,0,0,164,CycloneDX
sbom-tool,https://github.com/cognitedata/opcua-extractor-net,2019-07-01T12:47:26Z,,4,57,0,71,0,16,1,2,2,491,601,SPDX
build-info-go,https://github.com/conan-io/conan-extensions,2023-02-24T14:51:01Z,,18,10,10,,0,9,11,10,4,45,108,CycloneDX
bom,https://github.com/containerbuildsystem/atomic-reactor,2014-10-21T14:45:11Z,,131,13,65,109,0,51,8,265,5,1805,"3,296",SPDX
cyclonedx-editor-validator,https://github.com/coshx/caravel,2015-05-28T19:20:24Z,,148,18,18,20,0,3,1,19,1,19,169,CycloneDX
bom,https://github.com/cpanato/kubepug-installer,2021-11-05T15:40:33Z,,4,3,0,2,,2,0,0,0,5,9,SPDX
bom,https://github.com/cri-o/cri-o,2016-09-09T19:56:31Z,,48000,124,1000,184,0,282,67,1209,50,5985,"8,333",SPDX
bom,https://github.com/cuiyeshuai/cilium,2023-05-11T14:47:15Z,,0,1,0,,0,,0,0,0,0,"23,197",SPDX
cyclonedx-php-composer,https://github.com/CycloneDX/bom-examples,2020-07-31T19:03:34Z,,120,11,49,,0,5,9,7,1,24,116,CycloneDX
cyclonedx-maven-plugin,https://github.com/CycloneDX/cdxgen,2019-12-30T13:55:18Z,,303,9,90,238,4,21,127,214,1,206,953,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-bom-repo-server,2021-05-27T10:57:35Z,,59,7,11,12,0,5,4,8,12,354,231,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-cli,2020-10-22T11:25:26Z,,205,9,51,44,,11,79,48,21,196,392,CycloneDX
bom,https://github.com/CycloneDX/cyclonedx-core-java,2018-05-30T22:50:46Z,,57,6,47,,0,25,21,41,10,257,938,SPDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-dotnet,2018-10-02T21:58:30Z,,132,11,69,34,0,31,61,85,28,588,857,CycloneDX
cyclonedx-gomod,https://github.com/CycloneDX/cyclonedx-go,2021-03-02T11:20:02Z,,49,7,15,11,,9,6,12,6,99,223,CycloneDX
cyclonedx-cli,https://github.com/CycloneDX/cyclonedx-gomod,2021-03-07T19:21:22Z,,102,7,19,33,,7,9,55,12,290,588,CycloneDX
bom,https://github.com/CycloneDX/cyclonedx-linux-generator,2021-05-20T15:48:46Z,,37,8,11,,0,4,5,0,10,54,78,SPDX
cyclonedx-node-npm,https://github.com/CycloneDX/cyclonedx-node-module,2017-06-04T04:34:48Z,,114,8,37,33,,23,0,98,0,251,484,CycloneDX
cyclonedx-python-lib,https://github.com/CycloneDX/cyclonedx-python,2018-11-15T05:53:33Z,,155,15,59,50,,30,26,101,19,430,538,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-web-tool,2021-05-21T12:46:14Z,,17,4,4,14,0,4,7,5,7,107,146,CycloneDX
cyclonedx-gomod,https://github.com/CycloneDX/license-scanner,2023-01-13T02:43:33Z,,23,6,5,2,0,3,5,4,2,13,29,CycloneDX
cyclonedx-node-npm,https://github.com/CycloneDX/sbom-utility,2023-01-10T04:00:14Z,,40,5,7,6,0,3,13,14,0,32,251,CycloneDX
cyclonedx-node-module,https://github.com/CycloneDX/specification,2017-05-29T02:22:06Z,,272,26,47,4,,11,69,126,8,97,627,CycloneDX
cyclonedx-maven-plugin,https://github.com/cycodehq-public/cycode-cli,2022-07-04T16:39:28Z,,87,22,39,14,,14,0,0,2,161,159,CycloneDX
cyclonedx-gomod,https://github.com/dadrus/heimdall,2022-04-12T08:54:37Z,,72,5,4,18,,7,33,164,5,734,"1,489",CycloneDX
bom,https://github.com/daemon1024/scratchpad-k8s-sig-resource,2021-12-04T05:52:10Z,,1,1,0,,0,2,0,0,0,0,8,SPDX
ort,https://github.com/danf425/jhttp_isolated,2022-04-05T20:37:16Z,,3,1,13,22,0,,0,0,6,138,54,SPDX
cyclonedx-go,https://github.com/DataDog/datadog-agent,2016-01-19T17:40:41Z,,23000,488,11000,162,0,457,545,790,456,17783,"15,033",CycloneDX
cyclonedx-php-composer,https://github.com/DataDog/datadog-ci,2019-06-26T15:15:17Z,,97,451,43,161,0,92,43,63,9,954,"3,114",CycloneDX
swift-package-sbom,https://github.com/davideshay/vulnscan,2021-12-28T01:35:56Z,,48,1,2,,0,,1,0,0,3,74,CycloneDX
