link,type
https://github.com/cuiyeshuai/cilium,SPDX
https://github.com/Be-Secure/ansible-role-oah-sbomGenerator,SPDX
https://github.com/spidernet-io/rocktemplate,SPDX
https://github.com/DoktorLenz/anmelde-tool,SPDX
https://github.com/midokura/gha-devops,SPDX
https://github.com/LLNL/Surfactant,SPDX
https://github.com/spdx/spdx-testbed,SPDX
https://github.com/NodeSecure/licenses-conformance,SPDX
https://github.com/xsm110/Beam15.0,SPDX
https://github.com/moleske/geode-protobuf,SPDX
