Format,Tool,Repo,Stars,Watchers,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest,creation_date,age,Commits
CycloneDx,Github,CycloneDX/specification,326,28,,7,9,,,11,166,2017-05-29T02:22:06Z,2544,935
SPDX,Github,CycloneDX/specification,326,28,,7,9,,,11,166,2017-05-29T02:22:06Z,2544,935
CycloneDx,Github,danielpaulomalley/cyclonedx-node-module,0,1,,0,20,,,0,0,2022-05-19T17:06:41Z,727,437
SPDX,Github,davaya/spdx-3-elements,0,1,,0,,,,0,0,2022-07-18T18:42:41Z,667,24
SPDX,Github,davaya/spdx-world,0,1,,0,,,,0,0,2021-12-06T03:22:32Z,891,4
SPDX,Github,davaya/spdxv3-template-tool,1,2,,0,,,,0,0,2021-07-13T14:12:45Z,1037,49
SPDX,Github,david-a-wheeler/spdx-tutorial,120,10,,0,6,,,1,8,2015-11-21T20:25:53Z,3098,145
SPDX,Github,DBOMproject/tools,0,4,,0,3,,,2,3,2021-01-15T18:33:09Z,1216,9
SPDX,Github,Debian/spdx-licenses,3,4,,0,,,,0,0,2020-03-26T16:23:45Z,1511,8
SPDX,Github,deepak6446/spdxValidator,0,2,,0,,,,4,0,2019-04-23T14:10:55Z,1849,17
CycloneDx,Official,defenseunicorns/sbom-cli,11,2,,0,,,,0,0,2021-10-04T13:53:19Z,954,4
CycloneDx,Github,DependencyTrack/dependency-track,2360,69,,52,57,,,29,1290,2013-07-16T19:16:43Z,3956,4813
SPDX,Github,dephell/dephell_licenses,1,3,,0,2,,,0,2,2019-03-25T18:13:21Z,1878,40
SPDX,Github,desenvolvendo-me/spdxyz,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,Devforlive/SPDX-short-identifier-MIT,1,0,,0,,,,0,0,2017-11-15T14:36:14Z,2373,3
CycloneDx,Github,devops-kung-fu/bomber,458,8,,19,,,,7,123,2022-07-08T15:05:44Z,677,80
SPDX,Github,devops-kung-fu/bomber,458,8,,19,,,,7,123,2022-07-08T15:05:44Z,677,80
SPDX,Github,DimarrWS/ws_joint_spdx,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
CycloneDx,Github,djschleen/sbom-release-example,0,1,,8,,,,2,1,2022-07-27T16:31:13Z,658,3
SPDX,Github,djschleen/sbom-release-example,0,1,,8,,,,2,1,2022-07-27T16:31:13Z,658,3
SPDX,Github,dl9pf/meta-spdxscanner,9,7,,0,3,,,0,7,2016-11-16T05:13:01Z,2737,85
SPDX,Github,dmgerman/spdxTemplates,0,2,,0,,,,0,0,2013-04-17T18:54:03Z,4046,18
CycloneDx,Official,docker/docker-sbom-cli-plugin,144,14,,9,4,,,10,18,2022-01-31T17:49:31Z,835,28
CycloneDx,Github,doddi/cyclonedx-rust,1,1,,1,3,,,0,6,2021-03-06T22:12:34Z,1166,24
CycloneDx,Official,doddi/cyclonedx-rust,1,1,,1,3,,,0,6,2021-03-06T22:12:34Z,1166,24
SPDX,Github,domcleal/spdx-licenses,14,3,,1,4,,,1,4,2014-12-09T10:25:28Z,3445,17
SPDX,Github,DoSOCSv2/DoSOCSv2,15,9,,3,10,,,6,59,2015-05-28T18:44:08Z,3275,682
SPDX,Github,doubleopen-project/do-convert,0,2,,0,,,,0,0,2022-05-03T12:56:39Z,743,13
SPDX,Github,doubleopen-project/example-spdx-analysis,N/A,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A
SPDX,Github,doubleopen-project/spdx-expression,0,2,,0,,,,1,6,2022-02-02T09:35:13Z,833,40
SPDX,Github,doubleopen-project/spdx-rs,6,3,,5,4,,,0,23,2021-07-13T10:49:57Z,1037,93
SPDX,Github,doubleopen-project/spdx-toolkit,0,3,,3,2,,,0,4,2021-10-21T19:17:16Z,937,18
SPDX,Github,dpasch01/spdx-compat-tools,1,2,,0,,,,0,0,2015-06-12T06:33:45Z,3260,12
SPDX,Github,dpasch01/spdx-compat-tools-webapp,1,1,,0,,,,0,0,2016-09-17T12:16:05Z,2797,2
SPDX,Github,DrSensor/granular-licensing-example,3,3,,0,,,,0,0,2021-02-21T02:34:33Z,1180,47
SPDX,Github,DST-QA/pytest-Java-build-failure,0,1,,0,,,,0,0,2021-09-18T22:22:39Z,970,1
SPDX,Github,ec-europa/spdx,0,16,,6,3,,,1,13,2019-03-13T09:26:56Z,1890,59
SPDX,Official,eclipse/sw360,114,25,,26,37,,,39,1101,2018-04-16T15:54:19Z,2221,2096
SPDX,Github,ehuss/license-exprs,19,8,,1,12,,,0,23,2015-06-30T03:59:55Z,3243,49
SPDX,Github,Eideticom/workflow-license-check,4,4,,0,,,,0,12,2022-06-15T20:30:31Z,700,46
SPDX,Github,ekongobie/spdx_id_doc_gen,4,1,,0,,,,0,0,2019-06-07T08:44:08Z,1804,18
SPDX,Github,ekongobie/spdx-npm-build-tool,1,2,,0,,,,4,0,2020-07-31T15:53:02Z,1384,4
SPDX,Github,ekongobie/spdx-py-build-tool,1,3,,1,,,,2,1,2020-06-05T10:56:02Z,1440,7
CycloneDx,Official,elear/apt2sbom,22,4,,0,,,,0,0,2021-12-08T18:53:37Z,889,50
SPDX,Github,ElvisPresleyCoin/Contract-of-ELVIS,0,0,,0,,,,0,0,2022-07-22T14:21:29Z,663,1
SPDX,Github,EmbarkStudios/cargo-about,488,5,,26,16,,,0,176,2019-11-01T08:38:11Z,1657,181
SPDX,Github,EmbarkStudios/spdx,33,6,,28,15,,,0,57,2019-09-02T15:30:42Z,1717,93
SPDX,Github,emem365/spdx_parser,0,2,,0,,,,0,0,2021-03-18T19:16:00Z,1154,2
SPDX,Github,emzeat/mz-lictools,0,2,,0,,,,0,22,2013-06-17T08:46:46Z,3985,173
SPDX,Github,enarx/spdx,1,6,,0,3,,,1,16,2020-08-19T19:01:35Z,1365,24
CycloneDx,Github,equisoft-actions/golang-sbom,0,2,,10,2,,,1,15,2022-02-23T21:06:38Z,812,25
SPDX,Github,espressif/check-copyright,8,8,,4,6,,,0,11,2022-06-16T07:52:13Z,699,33
SPDX,Github,etrexel/spdx-verifier-go,0,2,,0,,,,0,0,2021-12-16T01:55:37Z,882,1
SPDX,Github,euantorano/spdx_licenses.nim,1,2,,0,,,,0,0,2018-07-25T15:57:56Z,2121,8
SPDX,Github,evenorog/license,8,2,,0,2,,,0,2,2019-10-26T21:32:44Z,1663,124
SPDX,Github,extenda/spdx-maven-plugin,0,4,,0,,,,1,1,2013-11-02T09:58:03Z,3847,4
SPDX,Github,Fabien-Chouteau/spdx_ada,0,2,,2,,,,0,3,2020-10-22T13:50:20Z,1301,12
SPDX,Github,fegcashcommunity/fegcashcontract,1,1,,0,,,,0,0,2021-07-27T18:08:06Z,1023,3
CycloneDx,Github,feliceg77/bom-scala-maven,1,1,,0,,,,0,0,2021-08-24T13:37:06Z,995,5
CycloneDx,Github,FiniteStateInc/cyclonedx-property-taxonomy,2,17,,0,,,,0,1,2022-06-03T14:47:05Z,712,7
CycloneDx,Github,flexera-public/sca-codeinsight-reports-cyclonedx,2,3,,0,,,,2,1,2022-06-13T14:46:32Z,702,52
CycloneDx,Official,flexera-public/sca-codeinsight-reports-cyclonedx,2,3,,0,,,,2,1,2022-06-13T14:46:32Z,702,52
SPDX,Github,flexera-public/sca-codeinsight-reports-spdx,2,3,,0,2,,,2,3,2020-10-20T22:43:46Z,1303,200
CycloneDx,Github,fortify-ps/fortify-ssc-parser-cyclonedx,1,4,,5,,,,0,6,2022-05-03T14:50:21Z,743,52
CycloneDx,Official,fortify-ps/fortify-ssc-parser-cyclonedx,1,4,,5,,,,0,6,2022-05-03T14:50:21Z,743,52
SPDX,Github,Fosslim/fosslim,4,4,,0,,,,0,1,2017-08-08T09:51:20Z,2472,30
SPDX,Github,Fosslim/license_matcher,2,2,,0,,,,1,0,2017-09-13T13:05:05Z,2436,19
SPDX,Github,freight-trust/legal,0,2,,4,,,,0,2,2020-06-20T17:05:40Z,1425,60
SPDX,Github,freight-trust/spdx-asc-x12,0,2,,0,,,,0,0,2020-09-22T22:44:54Z,1331,6
SPDX,Github,fsfe/reuse-tool,351,21,,10,59,,,19,446,2019-04-12T10:46:18Z,1860,2190
SPDX,Official,fsfe/reuse-tool,351,21,,10,59,,,19,446,2019-04-12T10:46:18Z,1860,2190
SPDX,Github,Gal-Doron/spdx_tools-0.7.0a3_ws-py3-none-any,1,1,,0,,,,1,1,2021-11-28T11:14:07Z,899,2
CycloneDx,Github,geirem/bom-tracker,1,1,,1,,,,0,0,2020-02-26T09:26:35Z,1540,23
