Format,Tool,Repo,CreationDate,Language,Contributors,OpenPullRequest,ClosedPullRequest,Releases,Forks,Stars,Watchers,Commits,OpenIssues,ClosedIssues
CycloneDx,Github,alex-todorov86/xlsx_to_CycloneDX,2020-12-07T21:42:30Z,,1,0,8,0,0,0,1,1,0,0
CycloneDx,Official,Contrast-Security-OSS/jbom,2021-12-20T23:24:04Z,Java,5,1,8,4,5,106,11,67,7,6
SPDX,Github,david-a-wheeler/spdx-tutorial,2015-11-21T20:25:53Z,,6,1,8,0,14,121,10,145,4,3
SPDX,Github,ralexander-phi/which-license,2021-07-09T18:53:02Z,TypeScript,2,1,8,0,0,2,3,41,0,1
SPDX,Github,raratiru/django-quenv,2019-05-06T18:27:46Z,Python,2,0,8,4,1,2,1,29,1,8
CycloneDx,Github,voltone/sbom,2019-10-24T14:23:13Z,Elixir,3,2,8,5,14,35,2,11,3,1
CycloneDx,Github,CycloneDX/sbom-commons-combiner,2021-06-30T04:51:09Z,Java,3,2,7,0,1,0,4,6,0,0
SPDX,Github,dl9pf/meta-spdxscanner,2016-11-16T05:13:01Z,BitBake,3,0,7,0,10,9,7,85,5,11
SPDX,Github,kemitchell/spdx.js,2015-04-24T08:49:37Z,JavaScript,3,0,7,0,11,51,8,81,0,13
SPDX,Github,librariesio/license-compatibility,2015-11-25T21:54:43Z,Ruby,4,0,7,0,5,34,7,75,8,36
CycloneDx,Github,madpah/vexy,2022-07-04T14:37:59Z,Python,2,0,7,5,2,17,3,71,5,5
SPDX,Github,opensource-jp/licenses,2020-07-29T14:01:37Z,HTML,1,4,7,1,9,59,3,172,3,1
SPDX,Github,spdx/schema-to-java,2020-05-14T15:57:06Z,Java,3,1,7,0,4,3,8,95,4,0
SPDX,Github,spdx/spdx-build-tool,2018-08-13T18:21:03Z,Python,4,1,7,0,8,11,6,51,1,1
SPDX,Github,spdx/yalm-python,2020-07-02T07:43:26Z,Python,3,0,7,0,3,6,6,133,4,12
SPDX,Github,cutenode/conformance,2019-07-29T18:09:11Z,JavaScript,2,13,6,0,0,9,1,7,1,0
CycloneDx,Github,CycloneDX/gh-php-composer-generate-sbom,2020-07-13T13:02:10Z,JavaScript,3,0,6,3,0,0,4,24,2,1
CycloneDx,Github,doddi/cyclonedx-rust,2021-03-06T22:12:34Z,Rust,4,0,6,1,4,1,1,24,2,1
SPDX,Github,doubleopen-project/spdx-expression,2022-02-02T09:35:13Z,Rust,1,1,6,0,1,0,2,40,0,1
CycloneDx,Github,fortify-ps/fortify-ssc-parser-cyclonedx,2022-05-03T14:50:21Z,Shell,2,0,6,5,1,1,4,52,1,0
SPDX,Github,patriksvensson/spdx,2021-11-20T16:55:43Z,C#,2,0,6,0,0,13,3,31,1,0
SPDX,Github,alilleybrinker/cargo-spdx,2022-05-10T23:42:25Z,Rust,2,0,5,0,2,18,4,43,5,2
SPDX,Github,blackducksoftware/bd_export_spdx2.2,2021-08-17T12:30:33Z,Python,4,2,5,2,8,6,5,80,1,17
CycloneDx,Github,CycloneDX/homebrew-cyclonedx,2022-03-02T19:14:56Z,Ruby,3,0,5,0,1,0,9,19,0,1
SPDX,Github,hfukuchi/SPDX_specification,2018-07-18T01:48:48Z,,2,0,5,0,2,4,2,110,1,3
SPDX,Github,jslicense/spdx-exceptions.json,2015-08-01T23:26:32Z,JavaScript,2,1,5,0,11,13,4,44,0,7
CycloneDx,Official,Quobis/action-owasp-dependecy-track-check,2021-05-15T17:32:57Z,Shell,4,0,5,4,17,32,6,52,5,3
SPDX,Github,RedstormJones/SPDX_Eclipse_Plugin,2015-01-21T22:22:45Z,Java,2,0,5,0,1,2,5,340,4,130
SPDX,Github,yohangz/packer-cli,2018-09-18T10:28:18Z,HTML,3,22,5,0,3,86,3,531,0,9
SPDX,Github,0xflotus/speedy-x,2019-01-03T23:26:02Z,JavaScript,1,0,4,0,0,0,2,24,0,0
SPDX,Official,CERTCC/SBOM,2020-06-01T17:08:22Z,JavaScript,2,0,4,0,17,55,12,50,2,15
CycloneDx,Github,CycloneDX/gh-python-generate-sbom,2020-07-13T11:58:49Z,JavaScript,4,0,4,4,4,12,6,27,4,2
