"","Tags","identifier","n"
"430","milestone 1.13.0","CycloneDX",2
"431","milestone 1.5.0","CycloneDX",5
"432","milestone 1.5.4","CycloneDX",2
"433","milestone 1.6.1","CycloneDX",1
"434","milestone 1.7.0","CycloneDX",3
"435","milestone 1.7.1","CycloneDX",1
"436","milestone 1.8.2","CycloneDX",1
"437","minor","CycloneDX",7
"438","minor","SPDX",14
"439","minor updates to file","SPDX",46
"440","model","SPDX",97
"441","multiple-sources","CycloneDX",4
"442","multiple-sources","SPDX",1
"443","must have","CycloneDX",54
"444","must have","SPDX",108
"445","mutation","CycloneDX",141
"446","mutation-existing","CycloneDX",44
"447","needs clarification","SPDX",88
"448","needs customer input","SPDX",2
"449","needs design (KDP)","CycloneDX",15
"450","needs general test","SPDX",3
"451","needs info","SPDX",134
"452","needs milestone","CycloneDX",15
"453","needs review","SPDX",1
"454","needs special test","SPDX",1
"455","needs-discussion","CycloneDX",4
"456","needs-discussion","SPDX",1
"457","needs-external-data","CycloneDX",4
"458","needs-external-data","SPDX",2
"459","needs-investigation","CycloneDX",16
"460","needs-research","CycloneDX",18
"461","needs-research","SPDX",9
"462","needs-response","CycloneDX",2
"463","needs-validation","CycloneDX",4
"464","needs-validation","SPDX",2
"465","new and improved data","CycloneDX",89
"466","new and improved data","SPDX",178
"467","new feature","CycloneDX",284
"468","new feature","SPDX",728
"469","new format","SPDX",16
"470","new license/exception request","SPDX",349
"471","new license/exception: Accepted","SPDX",271
"472","new license/exception: Not Accepted","SPDX",64
"473","new license/exception: waiting for steward","SPDX",2
"474","new license/exception: waiting for submitter","SPDX",8
"475","new-cataloger","CycloneDX",40
"476","new-cataloger","SPDX",20
"477","new-license","CycloneDX",2
"478","new-license","SPDX",4
"479","nice to have","CycloneDX",22
"480","nice to have","SPDX",44
"481","no-stale","CycloneDX",5
"482","node","SPDX",8
"483","not a bug","SPDX",8
"484","not an issue","CycloneDX",40
"485","not planned","SPDX",5
"486","not-reproducible","CycloneDX",1
"487","not-reproducible","SPDX",1
"488","notifier","SPDX",2
"489","npm","SPDX",18
"490","npm 10","CycloneDX",1
"491","observability","CycloneDX",4
"492","off-topic or spam","SPDX",16
"493","on hold","CycloneDX",6
"494","on hold","SPDX",3
"495","os support","CycloneDX",16
"496","os support","SPDX",32
"497","ossindex-issue","CycloneDX",3
"498","p1","CycloneDX",34
"499","p2","CycloneDX",235
"500","p3","CycloneDX",101
"501","package scan","CycloneDX",247
"502","package scan","SPDX",494
"503","package-at-toplevel","CycloneDX",17
"504","package-at-toplevel","SPDX",34
"505","package-files","CycloneDX",19
"506","package-files","SPDX",38
"507","package-formats","CycloneDX",103
"508","package-formats","SPDX",206
"509","packaging","CycloneDX",2
"510","packaging and ci","SPDX",16
"511","parser","SPDX",38
"512","parser-gradle","CycloneDX",1
"513","parser-groovy","CycloneDX",16
"514","parser-hcl","CycloneDX",1
"515","parser-java","CycloneDX",21
"516","parser-json","CycloneDX",1
"517","parser-kotlin","CycloneDX",2
"518","parser-maven","CycloneDX",6
"519","parser-properties","CycloneDX",1
"520","parser-xml","CycloneDX",7
"521","parser-yaml","CycloneDX",1
"522","pending more information","CycloneDX",40
"523","pending release","CycloneDX",216
"524","pending/close","SPDX",6
"525","performance","CycloneDX",50
"526","performance","SPDX",2
"527","php","SPDX",12
"528","pipenv","SPDX",6
"529","planning","CycloneDX",6
"530","planning","SPDX",3
"531","plat:linux","CycloneDX",1
"532","plat:macos","CycloneDX",1
"533","plat:windows","CycloneDX",6
"534","platform","CycloneDX",11
"535","plugin","CycloneDX",7
"536","plugin","SPDX",28
"537","poetry","SPDX",6
"538","policy","CycloneDX",1
"539","policy","SPDX",2
"540","policy-report-refactoring","CycloneDX",2
"541","potential policy change","SPDX",4
"542","pri:high","CycloneDX",9
"543","pri:low","CycloneDX",10
"544","primary-summary","CycloneDX",5
"545","primary-summary","SPDX",10
"546","priority/important-longterm","SPDX",1
"547","priority/low","SPDX",44
"548","production","SPDX",28
"549","profile: base","SPDX",2
"550","profile: defects","SPDX",1
"551","profile: licensing","SPDX",24
"552","prometheus","CycloneDX",20
"553","proposal","CycloneDX",24
"554","proposal","SPDX",48
"555","proposed core enhancement","CycloneDX",69
"556","proposed core enhancement","SPDX",69
"557","proposed schema extension","CycloneDX",1
"558","proposed schema extension","SPDX",1
"559","prototype","CycloneDX",12
"560","pss","CycloneDX",19
"561","python","SPDX",19
"562","python-support","CycloneDX",1
"563","python-support","SPDX",2
"564","qa","CycloneDX",2
"565","question","CycloneDX",508
"566","question","SPDX",482
"567","rainy day","CycloneDX",1
"568","rainy day","SPDX",1
"569","ready for development","CycloneDX",6
"570","ready for development","SPDX",6
"571","ready for review","CycloneDX",11
"572","ready for review","SPDX",11
"573","recipe","CycloneDX",136
"574","refactor","CycloneDX",22
"575","refactor","SPDX",41
"576","refactoring","CycloneDX",11
"577","regression","CycloneDX",25
"578","regression","SPDX",11
"579","release","CycloneDX",18
"580","release","SPDX",22
"581","release 4.0.0","CycloneDX",23
"582","release 4.1.0","CycloneDX",8
"583","release notes","SPDX",2
"584","release-critical","CycloneDX",8
"585","release-high","CycloneDX",58
"586","release-low","CycloneDX",2
"587","release-medium","CycloneDX",1
"588","released","CycloneDX",13
"589","released","SPDX",6
"590","released on @alpha","CycloneDX",20
"591","released on @beta","CycloneDX",17
"592","reporter","SPDX",298
"593","reports","CycloneDX",119
"594","request for comment","CycloneDX",30
"595","request for comment","SPDX",30
"596","research","SPDX",1
"597","retracted","CycloneDX",1
"598","roadmap","CycloneDX",1
"599","ruby","SPDX",10
"600","run-on-windows","CycloneDX",24
"601","run-on-windows","SPDX",12
"602","rust","CycloneDX",1
"603","rust","SPDX",8
"604","sample policy","CycloneDX",26
"605","sbom","CycloneDX",12
"606","sbom","SPDX",2
"607","scancode-results-analyzer","CycloneDX",1
"608","scancode-results-analyzer","SPDX",2
"609","scanner","SPDX",354
"610","schema 1.0","CycloneDX",4
"611","schema 1.0","SPDX",4
"612","schema 1.1","CycloneDX",8
"613","schema 1.1","SPDX",7
"614","schema 1.2","CycloneDX",13
"615","schema 1.2","SPDX",11
"616","schema 1.3","CycloneDX",16
"617","schema 1.3","SPDX",15
"618","schema 1.4","CycloneDX",15
"619","schema 1.4","SPDX",15
"620","schema 1.5","CycloneDX",25
"621","schema 1.5","SPDX",18
"622","scorecard","CycloneDX",10
"623","security","CycloneDX",105
"624","security","SPDX",4
"625","semantic-release","SPDX",6
"626","serialization","SPDX",33
"627","should have","CycloneDX",12
"628","should have","SPDX",24
"629","show-stopper","CycloneDX",2
"630","show-stopper","SPDX",4
"631","sig/release","SPDX",59
"632","small","SPDX",4
"633","source: conda","CycloneDX",3
"634","source: conda","SPDX",3
"635","source: environment","CycloneDX",6
"636","source: environment","SPDX",6
"637","source: hatch","CycloneDX",1
"638","source: hatch","SPDX",1
"639","source: pdm","CycloneDX",1
"640","source: pdm","SPDX",1
"641","source: pipenv","CycloneDX",1
"642","source: pipenv","SPDX",1
"643","source: poetry","CycloneDX",9
"644","source: poetry","SPDX",9
"645","source: requirements","CycloneDX",3
"646","source: requirements","SPDX",3
"647","spdx","CycloneDX",9
"648","spdx","SPDX",18
"649","spdx-utils","SPDX",34
"650","spec","SPDX",6
"651","spec:1.4","CycloneDX",2
"652","spec:1.5","CycloneDX",8
"653","spike","CycloneDX",10
"654","spike","SPDX",3
"655","spike / research","CycloneDX",12
"656","stale","CycloneDX",86
"657","stale","SPDX",27
"658","starter","CycloneDX",1
"659","starter","SPDX",2
"660","style","CycloneDX",3
"661","style","SPDX",6
"662","summaries","CycloneDX",19
"663","summaries","SPDX",38
"664","super","CycloneDX",30
"665","super","SPDX",60
"666","tabled","SPDX",3
"667","task","CycloneDX",14
"668","task","SPDX",29
"669","tc54 accepted","CycloneDX",2
"670","tc54 accepted","SPDX",2
"671","tc54 reviewed","CycloneDX",2
"672","tc54 reviewed","SPDX",2
"673","tech debt","CycloneDX",3
"674","tech debt","SPDX",20
"675","tech team review","SPDX",5
"676","tech-debt","SPDX",3
"677","technical debt","CycloneDX",29
"678","technical debt","SPDX",9
"679","technical issue","SPDX",38
"680","technical-debt","CycloneDX",34
"681","technical-debt","SPDX",68
"682","templating","CycloneDX",6
"683","templating","SPDX",1
"684","test","CycloneDX",44
"685","test provided","CycloneDX",20
"686","test-data","CycloneDX",5
"687","test-data","SPDX",5
"688","testing","CycloneDX",6
"689","testing","SPDX",3
"690","tests","CycloneDX",12
"691","tests","SPDX",41
"692","text extraction","CycloneDX",3
"693","text extraction","SPDX",6
"694","timeout","CycloneDX",3
"695","timeout","SPDX",6
"696","tool-center","CycloneDX",1
"697","tools","CycloneDX",10
"698","tools","SPDX",19
"699","triage","CycloneDX",118
"700","triage","SPDX",7
"701","triage/needs-decision","CycloneDX",1
"702","triage:needs-reproducer","CycloneDX",4
"703","type:cli","CycloneDX",254
"704","type:controller","CycloneDX",1
"705","typescript","CycloneDX",5
"706","unknown licenses","SPDX",1
"707","update-request","CycloneDX",7
"708","upstream","CycloneDX",16
"709","upstream","SPDX",44
"710","upstream-bug","CycloneDX",3
"711","used in major distro","SPDX",160
"712","uses-dataflow","CycloneDX",5
"713","v2-compatibility","SPDX",13
"714","validate.cel","CycloneDX",5
"715","validate.manifests","CycloneDX",2
"716","validate.podSecurity","CycloneDX",27
"717","validated","CycloneDX",22
"718","validated","SPDX",22
"719","validation","CycloneDX",130
"720","validation","SPDX",28
"721","venv","SPDX",9
"722","vuln-aliases","CycloneDX",9
"723","vulnerability-data-source","CycloneDX",14
"724","waiting for feedback","CycloneDX",2
"725","waiting for feedback","SPDX",1
"726","webhook","CycloneDX",70
"727","website improvement","SPDX",1
"728","weekly-digest","SPDX",1
"729","windows","CycloneDX",2
"730","wip","SPDX",2
"731","wontfix","CycloneDX",64
"732","wontfix","SPDX",109
"733","working-with-latest","CycloneDX",5
"734","writer","SPDX",26
"735","xfer-to-spdx-3-model","SPDX",1
"736","yarn","SPDX",9
"737","z-P1","SPDX",21
"738","z-P2","SPDX",21
"739","z-aa-triaged","SPDX",60
"740","z-bug","SPDX",19
"741","z-ci/cd","SPDX",2
"742","z-documentation","SPDX",8
"743","z-enhancement","SPDX",19
"744","z-external","SPDX",1
"745","z-good first issue","SPDX",1
"746","z-question","SPDX",10
"747","z-security","SPDX",1
