tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
bom,Cryptography Bill of Materials,https://github.com/IBM/CBOM,[],[],Apache-2.0 license,35,9,4,1.0,1.4-cbom-1.0,0.0,,4.0,8,13,1,13,7,,SPDX
ort,Main operatorfabric program,https://github.com/opfab/operatorfabric-core,[],"['platform', 'energy', 'alerting', 'collaboration', 'linux-foundation', 'hypervision']",,32,9,25,54.0,3.15.2.RELEASE,0.0,,35.0,105,1362,19,3573,"6,353",TypeScript,SPDX
Spdx-Java-Library,Plugin for supporting SPDX in a Maven build.,https://github.com/spdx/spdx-maven-plugin,[],[],Apache-2.0 license,31,5,21,14.0,Release 0.7.0 of the SPDX Maven Plugin,0.0,81.0,15.0,7,33,0,90,223,Java,SPDX
tools-golang,QMSTR compliance tool,https://github.com/QMSTR/qmstr,[],[],,31,1,1,,,0.0,,11.0,58,123,2,365,"1,219",Go,SPDX
tools-golang,A traceability vocabulary for describing relevant Verifiable Credentials and their contents.,https://github.com/w3c-ccg/traceability-vocab,[],"['linked-data', 'vocabulary', 'supply-chain', 'traceability', 'workitem', 'w3c-ccg']",,30,29,32,,,0.0,,26.0,60,236,0,581,"2,813",JavaScript,SPDX
ort,my Linux Configuration,https://github.com/maxhbr/myconfig,[],"['linux', 'dotfiles', 'zsh', 'nix', 'emacs', 'nixos', 'configuration', 'xmonad', 'reproducibility', 'neo2']",MIT license,26,3,12,,,0.0,,52.0,15,16,0,11,"6,617",Shell,SPDX
tools-java,"This repo contains license and copyright analysis results of open source packages. It further contains other license compliance relevant artifacts, which might be of value for others",https://github.com/Open-Source-Compliance/package-analysis,[],[],View license,25,6,8,,,0.0,,7.0,0,9,0,53,"1,417",,SPDX
tools-golang,,https://github.com/anchore/grype-db,[],[],Apache-2.0 license,25,17,9,13.0,v0.19.1,13.0,,11.0,4,9,2,156,133,Go,SPDX
sbom-tool,Demo and resources that show how SBOMs can be used with GitHub's dependency graph,https://github.com/octodemo/sbom-dependency-submission,[],[],,25,2,16,,,,,2.0,0,0,0,1,22,Java,SPDX
sbom-tool,Lightweight and extensible proxy for 2B2T.,https://github.com/Enchoseon/2based2wait,[],"['minecraft', 'proxy', '2b2t']",GPL-2.0 license,24,2,8,7.0,v1.0.4 — Patches & Polish,,,5.0,9,12,1,55,321,JavaScript,SPDX
tools-golang,Analyzing Cloud Security Posture,https://github.com/elastic/cloudbeat,[],"['golang', 'cloud', 'vulnerability-detection', 'vulnerability-scanners', 'cspm']",,24,11,34,,,0.0,,26.0,121,329,6,886,664,Go,SPDX
bom,The Elemental operator is responsible for managing the OS versions and maintaining a machine inventory to assist with edge or baremetal installations.,https://github.com/rancher/elemental-operator,[],"['kubernetes', 'operator']",Apache-2.0 license,24,11,14,34.0,v1.3.4,,,16.0,28,181,3,317,664,Go,SPDX
ort,OSPO Landscape,https://github.com/todogroup/ospolandscape,[],"['opensource', 'landscape', 'ospo']",Apache-2.0 license,24,13,35,,,0.0,,35.0,3,34,1,138,770,,SPDX
tools-golang,A tool that takes two or more micro SBOMs and composes them into one distributable SBOM,https://github.com/vmware-samples/sbom-composer,[],[],BSD-2-Clause license,21,2,3,1.0,v0.1.0,0.0,,5.0,8,3,2,2,42,Go,SPDX
spdx-maven-plugin,Utility that converts SBOM documents from CycloneDX to SPDX,https://github.com/spdx/cdx2spdx,[],[],Apache-2.0 license,20,4,7,5.0,Release 0.1.4 of the CycloneDX to SPDX Utility,0.0,,3.0,3,11,0,20,74,Java,SPDX
bom,"DC metro map and train status indicator, but on PCB (aka Washington Metro Area Transistor Authority)",https://github.com/LArkema/dctransistor-project,[],[],,18,4,0,36.0,1.0.7,,,,0,1,0,0,321,C++,SPDX
sbom-tool,Instantly understandable CQRS.,https://github.com/verifiedcoder/Twilight,[],"['cqrs', 'cqrs-framework', 'cqrs-es', 'cqrs-pattern']",View license,17,3,0,,,0.0,,,0,0,0,18,53,C#,SPDX
ort,Solicitor is a tool enabling management of licenses of software dependencies,https://github.com/devonfw/solicitor,[],['asset-solicitor'],Apache-2.0 license,17,7,17,19.0,Release v1.13.0,0.0,,12.0,11,78,1,112,247,Java,SPDX
syft,Synapse Monorepo,https://github.com/synapsecns/sanguine,[],[],MIT license,17,7,5,1396.0,contrib/git-changes-action/v0.0.61,11.0,,14.0,27,39,22,1317,"1,271",Go,SPDX
bom,"Interface Innovations libraries for networked control, general and pi-based",https://github.com/iinnovations/iicontrollibs,[],[],,15,7,9,,,0.0,,2.0,0,0,0,0,386,Python,SPDX
tools-golang,,https://github.com/docker/go-imageinspect,[],[],Apache-2.0 license,15,4,2,,,0.0,,3.0,10,1,3,9,40,Go,SPDX
