tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage
cyclonedx-python,Oracle Cloud Infrastructure SDK for Python,https://github.com/oracle/oci-python-sdk,[],[],,333,33,277,262,2.112.2,0,16000,29,29,229,7,313,594,Python
cyclonedx-python,zero_to_tekton,https://github.com/afrittoli/zero_to_tekton,[],[],Apache-2.0 license,0,2,0,,,0,,,0,0,0,10,81,TeX
cyclonedx-python,conda environments used by PCDS,https://github.com/pcdshub/pcds-envs,[],[],,0,5,7,74,pcds-5.7.3,0,,5,33,133,0,133,890,Python
cyclonedx-python,A conda-smithy repository for cyclonedx-bom.,https://github.com/conda-forge/cyclonedx-bom-feedstock,[],[],,0,7,2,,,0,,5,0,0,0,16,53,
cyclonedx-python,,https://github.com/equisoft-actions/pipenv-sbom,[],[],Apache-2.0 license,0,1,0,9,v2.1.5,0,,3,1,1,0,14,23,
cyclonedx-python,Oracle Cloud Infrastructure Ansible Collection provides an easy way to provision and manage resources in Oracle Cloud using Ansible.,https://github.com/oracle/oci-ansible-collection,[],"['ansible', 'cloud', 'oracle', 'oracle-cloud-infrastructure']",,144,14,78,97,v4.30.0,0,,18,1,113,5,121,226,Python
cyclonedx-python,A conda-smithy repository for pip-audit.,https://github.com/conda-forge/pip-audit-feedstock,[],[],,1,7,5,,,0,,6,1,3,3,15,26,
cyclonedx-python,dbt (data build tool) adapter for the Oracle database,https://github.com/oracle/dbt-oracle,[],"['oracle', 'dbt', 'data-build-tool', 'autonomous-database']",,35,6,13,20,v1.6.0,0,12,8,6,44,0,54,270,Python
cyclonedx-python,Generate the CycloneDX BOM xml from buildroot manifest file,https://github.com/alvinchchen/cyclonedx-buildroot,[],[],Apache-2.0 license,5,3,1,,,0,,,1,0,1,1,7,Python
cyclonedx-python,Shell script that checks if git commits are signed,https://github.com/6mile/commit-audit,[],[],,4,2,2,,,0,,,0,0,1,0,19,Shell
cyclonedx-python,"Update Python modules in a project's VENV dir, update requirements.txt and also update the Software Bill of material (SBOM)",https://github.com/nitram2342/update-python-venv-requirements-and-sbom,[],"['python', 'updater', 'virtualenv', 'sbom-generator', 'sbom-tool']",BSD-2-Clause license,1,2,0,,,0,,,0,0,0,0,5,Shell
cyclonedx-python,"A python module to compare two lists that have complex data in it like list, dictionary etc",https://github.com/aliartiza75/python-list-comparison,[],"['python3', 'python2', 'python-list', 'pythonmodule', 'listcomparision', 'pythonlist']",,4,2,0,1,v2.1.2: Merge pull request #2 from aliartiza75/add-nested-list-support,0,,,0,0,0,6,56,Python
cyclonedx-python,SCITT Use cases for London Hackathon,https://github.com/rjb4standards/SCITT-MVP-USeCases,[],[],MIT license,0,1,1,,,0,,,0,0,0,0,7,
cyclonedx-python,,https://github.com/rodrez/br-svelte,[],[],ISC license,0,1,0,,,0,,,0,0,0,0,6,Svelte
cyclonedx-python,Merge multiple CycloneDX SBOMB files into a single xml,https://github.com/adracea/gha-sbomb-merge,[],[],,0,1,0,,,0,,,0,0,0,0,10,Python
cyclonedx-python,,https://github.com/actions-marketplace-validations/adracea_gha-sbomb-merge,[],[],,0,0,0,,,0,,,0,0,0,0,10,Python
cyclonedx-go,,https://github.com/docker/babashka-pod-docker,[],[],Apache-2.0 license,6,4,1,5,0.2.0,0,,4,0,0,4,15,44,Go
cyclonedx-go,"Proof-of-concept for decoupling responsibilities from Dependency-Track's monolithic API server into separate, scalable services, based on Apache Kafka.",https://github.com/DependencyTrack/hyades,[],[],Apache-2.0 license,27,6,5,5,v0.1.4,4,,18,43,113,0,670,"1,237",Java
cyclonedx-go,"build-info-go is a Go library and a CLI, which allows generating build-info for a source code project.",https://github.com/jfrog/build-info-go,[],[],Apache-2.0 license,50,8,33,47,1.9.10,,,14,18,3,5,170,232,Go
cyclonedx-go,Scans Software Bill of Materials (SBOMs) for security vulnerabilities,https://github.com/devops-kung-fu/bomber,[],"['golang', 'security', 'oss', 'supply-chain', 'spdx', 'vulnerability-scanners', 'security-automation', 'security-tools', 'devsecops', 'supplychain', 'syft', 'sbom', 'gomodule', 'cyclonedx']",MPL-2.0 license,354,5,28,15,v0.4.4,,,11,14,63,7,89,60,Go
cyclonedx-go,SBOM Assembler - A tool to compose your various sboms into a single sbom.,https://github.com/interlynk-io/sbomasm,[],"['go', 'golang', 'security', 'oss', 'spdx', 'devsecops', 'sbom', 'gomodule', 'cyclonedx', 'sbom-generator', 'sbom-tool']",Apache-2.0 license,22,3,1,5,v0.0.5,1,,3,3,5,4,15,32,Go
cyclonedx-go,This is the about,https://github.com/joshbressers/sbomer,[],[],,0,0,0,,,0,,,0,1,0,1,32,Python
cyclonedx-go,,https://github.com/SadFaceSmith/eos-sbom,[],[],,0,1,0,,,0,,,0,0,0,0,33,
cyclonedx-go,,https://github.com/alee-x/sbom-test,[],[],,0,1,0,,,0,,,0,0,0,0,64,
cyclonedx-go,,https://github.com/2lambda123/bomber,[],[],MPL-2.0 license,0,1,0,,,0,,11,0,0,0,0,60,Go
cyclonedx-go,,https://github.com/acook8/home-lab,[],[],,0,1,0,,,0,,2,1,0,10,57,529,HCL
